PLOT_YR,PLOT,YEAR,TRT,BURN17,ACHNATH,ACMI,AGGR,AGHE,AGIN,ALAC,ALAL,ANFL,ANLU,ARABIS,ARAC,ARCO,ARRI,ARSO,ASTERACEAE,BASA,BLSC,BRCA,BRJA,BRTE,CAEU,CAGE,CARU,CATE,CELE,CLPE,CLPU,COLLOMIA,COPA,CREPIS,CROC,CRYPTANTHA,CYFR,DAUN,DECA,DEDA,DELPHINIUM,DODECATHEON,DRVE,ELEL,EPBR,ERHE,ERIGERON,ERIOGONUM,ERNA,FEID,FRAGARIA,GAAP,GAYOPHYTUM,GETR,GUSA,HIERACIUM,HOUM,JUNCUS,JUOC,LELI,LILIACEAE,LIMI,LIRU,LITHOPHRAGMA,LOLE,LOMATIUM,LONU,LUPINUS,MAGR,MAMI,MARE,MENTZELIA,MIGR,MYST,NAVARRETIA,NEPA,NOTR,OLDO,ORUN,OSBE,PENSTEMON,PHCH,PHLOX,PIPO,POACEAE,POBU,PODO,POGL,POPO,POPR,POSE,PSME,PSSP,PUTR,RIBES,ROSA,RUAC,SAXIFRAGACEAE,SCUTELLARIA,SEST,SIOR,SOCA,SYAL,SYMPHORYCARPUS,THALICTRUM,THIN,TRCY,TRDU,TRMA,UNKFORB,VEDU,VUMI,ZIGADENUS
16UBC_06,UBC6,16,UBC,c_unburned,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,6.25,5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,3.75,0,0
16UBC_07,UBC7,16,UBC,c_unburned,2.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,2.5,0,1.25,6.25,0,10,0,0,0,0,0,0,7.5,0,0,0,0,0,0,2.5,0,0,0,0,12.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,0,0
16UBC_08,UBC8,16,UBC,c_unburned,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
16UBC_09,UBC9,16,UBC,c_unburned,7.5,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,5,0,0,0,0,0,0,7.5,0,0,0,0,0,0,5,2.5,0,0,2.5,5,0,0,5,0,2.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
16UBC_10,UBC10,16,UBC,c_unburned,7.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,7.5,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
16UBC_11,UBC11,16,UBC,c_unburned,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,5,0,0,0,2.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,21.25,0,0
18UB_01,UB1,18,UB,unburned,5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,1.25,0,0,0,0,7.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0
18UB_02,UB2,18,UB,unburned,0,2.5,0,2.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11.25,0,10,0,0,2.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,15,0,2.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,3.75,7.5,0
18UB_03,UB3,18,UB,<50,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,7.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75,0,0
18UB_04,UB4,18,UB,unburned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.5,0,0,12.5,20,0,2.5,0,0,0,0,0,0,5,0,0,0,2.5,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0
