PLOT_YR,PLOT,YEAR,TRT,BURN17,ACHNATH,ACMI,AGGR,AGHE,AGIN80,ALAC,ALAL,ANFL,ANLU,ARABIS,ARAC,ARCO,ARRI,ARSO,ASTERACEAE,BASA,BLSC,BRCA,BRJA80,BRTE80,CAEU,CAGE,CARU,CATE,CELE,CLPE,CLPU,COLLOMIA,COPA,CREPIS,CROC,CRYPTANTHA,CYFR,DAUN,DECA,DEDA,DELPHINIUM,DODECATHEON,DRVE,ELEL,EPBR,ERHE,ERIGERON,ERIOGONUM,ERNA,FEID,FRAGARIA,GAAP,GAYOPHYTUM,GETR,GUSA,HIERACIUM,HOUM,JUNCUS,JUOC,LELI,LILIACEAE,LIMI,LIRU,LITHOPHRAGMA,LOLE,LOMATIUM,LONU,LUPINUS,MAGR,MAMI,MARE,MENTZELIA,MIGR,MYST,NAVARRETIA,NEPA,NOTR,OLDO,ORUN,OSBE,PENSTEMON,PHCH,PHLOX,PIPO,POACEAE,POBU,PODO,POGL,POPO,POPR,POSE,PSME,PSSP,PUTR,RIBES,ROSA,RUAC,SAXIFRAGACEAE,SCUTELLARIA,SEST,SIOR,SOCA,SYAL,SYMPHORYCARPUS,THALICTRUM,THIN,TRCY,TRDU,TRMA,UNKFORB,VEDU80,VUMI80,ZIGADENUS
16UBC_05,UBC5,16,UBC,c_unburned,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16UBC_06,UBC6,16,UBC,c_unburned,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
16UBC_07,UBC7,16,UBC,c_unburned,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
16UBC_08,UBC8,16,UBC,c_unburned,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
16UBC_09,UBC9,16,UBC,c_unburned,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
16UBC_10,UBC10,16,UBC,c_unburned,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0
16UBC_11,UBC11,16,UBC,c_unburned,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0
18UB_01,UB1,18,UB,unburned,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
18UB_02,UB2,18,UB,unburned,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0
18UB_03,UB3,18,UB,<50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
